user_id,0,1,2,3,4,emailed
55ae5334-4108-4a17-a6e3-0039ac110013,682,40,336,480,186,[]
55aea399-da60-4cf6-98e0-0036ac110013,40,472,351,394,165,[]
55b0cfaf-69a8-4147-ab8e-0048ac110013,567,40,336,682,421,[]
55b0d407-68a8-4305-bdfe-0043ac110013,40,705,480,682,148,[]
55b78dc7-1090-4078-986e-0028ac110019,201,3,336,83,337,[]
55b8f420-5538-47a7-8e48-0027ac110019,567,3,336,186,622,[]
55bf2016-9374-41fa-aaca-003eac11000d,3,186,336,177,486,[]
55c0f881-75e4-465f-9ccc-0045ac110019,598,567,40,41,3,[]
55c35b4f-4370-427a-abf6-0043ac110019,40,186,336,42,48,[]
55c88c02-d314-4493-877a-0044ac110019,567,40,336,41,3,[]
55c9b834-5248-4804-a12b-0027ac11000d,682,40,336,480,165,[]
55ca2834-c52c-48e9-a925-0046ac11000d,3,336,60,271,8,[]
55cb3239-fa88-423e-a9fc-003aac11000d,567,165,598,336,547,[]
55cc73f4-ff08-4565-909d-0047ac11000d,336,148,480,271,11,[]
55cdd80a-a908-425d-9d96-0047ac11000d,682,705,480,148,238,[]
55cfee09-99c8-4f85-ac97-0047ac11000d,336,622,186,516,110,[]
55d1edcc-2be8-428f-a21f-0042ac11000d,567,336,457,285,111,[]
55d2cc71-3798-4785-ab51-0047ac11000d,682,627,111,325,186,[]
55e05586-105c-4b30-9b96-0055ac11000d,201,186,60,336,254,[]
55e54f7a-550c-4174-8a3d-004cac11000d,336,472,508,480,148,[]
55f1672f-1d24-4c98-a4f3-0037ac11000d,413,186,336,396,13,[]
55f692f3-cd9c-44a3-9326-0053ac11000d,567,3,186,336,547,[]
55f6c5ef-5264-4ad8-b0ef-003cac11000d,3,186,336,60,706,[]
55fac04e-f324-4da2-a6b9-0048ac11000d,325,336,421,368,272,[]
55fae1fd-4b60-49c6-84f2-0048ac11000d,201,186,191,44,529,[]
55fcde49-d1e0-4055-9636-0048ac11000d,319,480,472,243,148,[]
56050754-e2c8-4f44-9a2d-0053ac11000d,567,705,336,547,3,[]
56050dfa-d400-45e6-ae95-0053ac11000d,336,186,111,167,752,[]
5608bec0-fa78-4da0-a6a2-0040ac11000d,3,567,336,177,590,[]
56091add-2a18-4396-97b2-0041ac11000d,682,480,627,43,164,[]
560e4cc2-2f14-49da-94b7-0059ac11000d,336,480,457,93,148,[]
560e833e-1a14-4ac1-bbe3-0058ac11000d,3,177,71,29,151,[]
5611a24d-ed94-4645-a3ac-004aac11000d,40,186,336,627,81,[]
561294b9-6f6c-436c-99e7-0057ac11000d,214,457,285,148,581,[]
56162d19-a890-4acc-93ed-004aac11000d,40,705,336,509,480,[]
561671e1-1934-44ea-b208-004aac11000d,48,177,457,472,60,[]
56192c94-cdfc-4861-a2a7-004aac11000d,598,3,60,682,186,[]
561badfa-e0cc-4a50-bbeb-004cac11000d,3,598,567,682,421,[]
561bc8ef-c090-490e-bf59-0028ac11000d,567,3,598,245,421,[]
561e1370-67a8-49fe-bad1-003fac11000d,598,3,480,52,148,[]
561fa948-383c-459f-92e4-0045ac11000d,165,197,252,52,332,[]
561fffec-5aec-4317-ad90-0046ac11000d,201,3,336,502,245,[]
56215356-45e4-4f17-a3bc-0024ac11000d,165,336,120,3,535,[]
5624e823-2130-4b32-879f-0044ac11000d,682,567,598,421,368,[]
56262825-e5d4-49cc-8845-0045ac11000d,480,227,148,187,238,[]
562639ac-5450-4ed8-9b05-0047ac11000d,547,567,40,3,336,[]
56264ee1-bc38-4200-82a7-0034ac11000d,164,165,480,148,472,[]
5626874d-84a4-4894-aa6c-0046ac11000d,201,567,3,421,598,[]
5627a675-bd90-4da9-b1a9-0046ac11000d,3,133,245,177,326,[]
562d25a9-c998-4218-bde0-004fac11000d,682,3,421,345,187,[]
